"","date","COMID","name"
"1316",2017-11-01,20364785,"rainbow trout"
"1317",2005-03-01,20365099,"rainbow trout"
"1318",2005-06-01,20365099,"rainbow trout"
"1319",2005-11-01,20365099,"rainbow trout"
"1320",2008-03-01,20365099,"rainbow trout"
"1321",2008-06-01,20365099,"rainbow trout"
"1322",2008-11-01,20365099,"rainbow trout"
"1323",2009-03-01,20365099,"rainbow trout"
"1324",2009-06-01,20365099,"rainbow trout"
"1325",2009-11-01,20365099,"rainbow trout"
"1326",2010-03-01,20365099,"rainbow trout"
"1327",2010-06-01,20365099,"rainbow trout"
"1328",2010-11-01,20365099,"rainbow trout"
"1329",2012-03-01,20365099,"rainbow trout"
"1330",2012-06-01,20365099,"rainbow trout"
"1331",2012-11-01,20365099,"rainbow trout"
"1332",2013-03-01,20365099,"rainbow trout"
"1333",2013-06-01,20365099,"rainbow trout"
"1334",2013-11-01,20365099,"rainbow trout"
"1335",2014-03-01,20365099,"rainbow trout"
"1336",2014-06-01,20365099,"rainbow trout"
"1337",2014-11-01,20365099,"rainbow trout"
"1338",2015-03-01,20365099,"rainbow trout"
"1339",2015-06-01,20365099,"rainbow trout"
"1340",2015-11-01,20365099,"rainbow trout"
"1341",2016-03-01,20365099,"rainbow trout"
"1342",2016-06-01,20365099,"rainbow trout"
"1343",2016-11-01,20365099,"rainbow trout"
"1344",2017-03-01,20365099,"rainbow trout"
"1345",2017-06-01,20365099,"rainbow trout"
"1346",2017-11-01,20365099,"rainbow trout"
"1347",2012-03-01,20363899,"rainbow trout"
"1348",2012-06-01,20363899,"rainbow trout"
"1349",2012-11-01,20363899,"rainbow trout"
"1350",2013-03-01,20363899,"rainbow trout"
"1351",2013-06-01,20363899,"rainbow trout"
"1352",2013-11-01,20363899,"rainbow trout"
"1353",2014-03-01,20363899,"rainbow trout"
"1354",2014-06-01,20363899,"rainbow trout"
"1355",2014-11-01,20363899,"rainbow trout"
"1356",2015-03-01,20363899,"rainbow trout"
"1357",2015-06-01,20363899,"rainbow trout"
"1358",2015-11-01,20363899,"rainbow trout"
"1359",2016-03-01,20363899,"rainbow trout"
"1360",2016-06-01,20363899,"rainbow trout"
"1361",2016-11-01,20363899,"rainbow trout"
"1362",2017-03-01,20363899,"rainbow trout"
"1363",2017-06-01,20363899,"rainbow trout"
"1364",2017-11-01,20363899,"rainbow trout"
"1365",2005-03-01,20365177,"rainbow trout"
"1366",2005-06-01,20365177,"rainbow trout"
"1367",2005-11-01,20365177,"rainbow trout"
"1368",2008-03-01,20365177,"rainbow trout"
"1369",2008-06-01,20365177,"rainbow trout"
"1370",2008-11-01,20365177,"rainbow trout"
"1371",2009-03-01,20365177,"rainbow trout"
"1372",2009-06-01,20365177,"rainbow trout"
"1373",2009-11-01,20365177,"rainbow trout"
"1374",2010-03-01,20365177,"rainbow trout"
"1375",2010-06-01,20365177,"rainbow trout"
"1376",2010-11-01,20365177,"rainbow trout"
"1377",2012-03-01,20365177,"rainbow trout"
"1378",2012-06-01,20365177,"rainbow trout"
"1379",2012-11-01,20365177,"rainbow trout"
"1380",2013-03-01,20365177,"rainbow trout"
"1381",2013-06-01,20365177,"rainbow trout"
"1382",2013-11-01,20365177,"rainbow trout"
"1383",2014-03-01,20365177,"rainbow trout"
"1384",2014-06-01,20365177,"rainbow trout"
"1385",2014-11-01,20365177,"rainbow trout"
"1386",2015-03-01,20365177,"rainbow trout"
"1387",2015-06-01,20365177,"rainbow trout"
"1388",2015-11-01,20365177,"rainbow trout"
"1389",2016-03-01,20365177,"rainbow trout"
"1390",2016-06-01,20365177,"rainbow trout"
"1391",2016-11-01,20365177,"rainbow trout"
"1392",2017-03-01,20365177,"rainbow trout"
"1393",2017-06-01,20365177,"rainbow trout"
"1394",2017-11-01,20365177,"rainbow trout"
"1395",2009-06-08,20365889,"southwestern pond turtle"
"1396",2012-03-01,20364823,"rainbow trout"
"1397",2012-06-01,20364823,"rainbow trout"
"1398",2012-11-01,20364823,"rainbow trout"
"1399",2013-03-01,20364823,"rainbow trout"
"1400",2013-06-01,20364823,"rainbow trout"
"1401",2013-11-01,20364823,"rainbow trout"
"1402",2014-03-01,20364823,"rainbow trout"
"1403",2014-06-01,20364823,"rainbow trout"
"1404",2014-11-01,20364823,"rainbow trout"
"1405",2015-03-01,20364823,"rainbow trout"
"1406",2015-06-01,20364823,"rainbow trout"
"1407",2015-11-01,20364823,"rainbow trout"
"1408",2016-03-01,20364823,"rainbow trout"
"1409",2016-06-01,20364823,"rainbow trout"
"1410",2016-11-01,20364823,"rainbow trout"
"1411",2017-03-01,20364823,"rainbow trout"
"1412",2017-06-01,20364823,"rainbow trout"
"1413",2017-11-01,20364823,"rainbow trout"
"1414",2005-03-01,20365025,"rainbow trout"
"1415",2005-06-01,20365025,"rainbow trout"
"1416",2005-11-01,20365025,"rainbow trout"
"1417",2008-03-01,20365025,"rainbow trout"
"1418",2008-06-01,20365025,"rainbow trout"
"1419",2008-11-01,20365025,"rainbow trout"
"1420",2009-03-01,20365025,"rainbow trout"
"1421",2009-06-01,20365025,"rainbow trout"
"1422",2009-11-01,20365025,"rainbow trout"
"1423",2010-03-01,20365025,"rainbow trout"
"1424",2010-06-01,20365025,"rainbow trout"
"1425",2010-11-01,20365025,"rainbow trout"
"1426",2012-03-01,20365025,"rainbow trout"
"1427",2012-06-01,20365025,"rainbow trout"
"1428",2012-11-01,20365025,"rainbow trout"
"1429",2013-03-01,20365025,"rainbow trout"
"1430",2013-06-01,20365025,"rainbow trout"
"1431",2013-11-01,20365025,"rainbow trout"
"1432",2014-03-01,20365025,"rainbow trout"
"1433",2014-06-01,20365025,"rainbow trout"
"1434",2014-11-01,20365025,"rainbow trout"
"1435",2015-03-01,20365025,"rainbow trout"
"1436",2015-06-01,20365025,"rainbow trout"
"1437",2015-11-01,20365025,"rainbow trout"
"1438",2016-03-01,20365025,"rainbow trout"
"1439",2016-06-01,20365025,"rainbow trout"
"1440",2016-11-01,20365025,"rainbow trout"
"1441",2017-03-01,20365025,"rainbow trout"
"1442",2017-06-01,20365025,"rainbow trout"
"1443",2017-11-01,20365025,"rainbow trout"
"1444",2002-05-11,20364853,"southwestern pond turtle"
"1445",2002-05-22,20364853,"southwestern pond turtle"
"1446",2002-06-05,20364853,"southwestern pond turtle"
"1447",2002-06-06,20364853,"southwestern pond turtle"
"1449",2002-06-29,20364853,"southwestern pond turtle"
"1450",2003-06-03,20364853,"southwestern pond turtle"
"1451",2003-06-04,20364853,"southwestern pond turtle"
"1452",2003-06-29,20364853,"southwestern pond turtle"
"1453",2004-04-14,20364853,"southwestern pond turtle"
"1454",2004-04-15,20364853,"southwestern pond turtle"
"1455",2005-05-21,20364853,"southwestern pond turtle"
"1456",2006-05-02,20364853,"southwestern pond turtle"
"1457",2006-06-16,20364853,"southwestern pond turtle"
"1458",2007-06-01,20364853,"southwestern pond turtle"
"1459",2009-05-13,20364853,"southwestern pond turtle"
"1460",2009-09-04,20364853,"southwestern pond turtle"
"1461",2002-04-26,20364901,"southwestern pond turtle"
"1463",2002-05-10,20364901,"southwestern pond turtle"
"1466",2002-05-11,20364901,"southwestern pond turtle"
"1468",2002-06-06,20364901,"southwestern pond turtle"
"1470",2002-06-28,20364901,"southwestern pond turtle"
"1473",2003-03-14,20364901,"southwestern pond turtle"
"1474",2003-03-16,20364901,"southwestern pond turtle"
"1475",2003-04-11,20364901,"southwestern pond turtle"
"1476",2003-04-12,20364901,"southwestern pond turtle"
"1477",2003-04-28,20364901,"southwestern pond turtle"
"1478",2003-04-29,20364901,"southwestern pond turtle"
"1479",2003-04-30,20364901,"southwestern pond turtle"
"1480",2003-05-01,20364901,"southwestern pond turtle"
"1482",2003-05-16,20364901,"southwestern pond turtle"
"1483",2003-05-17,20364901,"southwestern pond turtle"
"1484",2003-05-20,20364901,"southwestern pond turtle"
"1485",2003-05-21,20364901,"southwestern pond turtle"
"1487",2003-05-22,20364901,"southwestern pond turtle"
"1488",2003-05-27,20364901,"southwestern pond turtle"
"1490",2003-05-28,20364901,"southwestern pond turtle"
"1491",2003-05-29,20364901,"southwestern pond turtle"
"1492",2003-05-30,20364901,"southwestern pond turtle"
"1493",2003-06-04,20364901,"southwestern pond turtle"
"1494",2003-06-17,20364901,"southwestern pond turtle"
"1495",2003-06-18,20364901,"southwestern pond turtle"
"1496",2003-06-19,20364901,"southwestern pond turtle"
"1497",2003-06-20,20364901,"southwestern pond turtle"
"1498",2003-07-01,20364901,"southwestern pond turtle"
"1499",2003-07-07,20364901,"southwestern pond turtle"
"1500",2003-07-08,20364901,"southwestern pond turtle"
"1501",2003-07-09,20364901,"southwestern pond turtle"
"1502",2003-07-10,20364901,"southwestern pond turtle"
"1503",2003-07-11,20364901,"southwestern pond turtle"
"1504",2003-07-28,20364901,"southwestern pond turtle"
"1505",2003-07-29,20364901,"southwestern pond turtle"
"1506",2003-07-30,20364901,"southwestern pond turtle"
"1507",2003-07-31,20364901,"southwestern pond turtle"
"1508",2003-08-01,20364901,"southwestern pond turtle"
"1510",2003-08-02,20364901,"southwestern pond turtle"
"1511",2003-08-19,20364901,"southwestern pond turtle"
"1512",2003-08-20,20364901,"southwestern pond turtle"
"1514",2003-08-21,20364901,"southwestern pond turtle"
"1516",2003-09-01,20364901,"southwestern pond turtle"
"1517",2003-09-08,20364901,"southwestern pond turtle"
"1518",2003-09-09,20364901,"southwestern pond turtle"
"1519",2003-09-10,20364901,"southwestern pond turtle"
"1520",2003-09-11,20364901,"southwestern pond turtle"
"1521",2003-09-12,20364901,"southwestern pond turtle"
"1523",2004-03-24,20364901,"southwestern pond turtle"
"1525",2004-03-25,20364901,"southwestern pond turtle"
"1526",2004-03-26,20364901,"southwestern pond turtle"
"1527",2004-04-05,20364901,"southwestern pond turtle"
"1528",2004-04-13,20364901,"southwestern pond turtle"
"1529",2004-04-14,20364901,"southwestern pond turtle"
"1530",2004-04-15,20364901,"southwestern pond turtle"
"1531",2004-04-20,20364901,"southwestern pond turtle"
"1532",2004-04-28,20364901,"southwestern pond turtle"
"1533",2004-04-30,20364901,"southwestern pond turtle"
"1534",2004-05-04,20364901,"southwestern pond turtle"
"1535",2004-05-05,20364901,"southwestern pond turtle"
"1536",2004-05-06,20364901,"southwestern pond turtle"
"1537",2004-05-26,20364901,"southwestern pond turtle"
"1538",2004-05-27,20364901,"southwestern pond turtle"
"1539",2004-06-15,20364901,"southwestern pond turtle"
"1540",2004-06-16,20364901,"southwestern pond turtle"
"1541",2004-06-17,20364901,"southwestern pond turtle"
"1542",2004-07-20,20364901,"southwestern pond turtle"
"1543",2004-07-21,20364901,"southwestern pond turtle"
"1544",2004-07-23,20364901,"southwestern pond turtle"
"1546",2004-08-12,20364901,"southwestern pond turtle"
"1547",2005-03-09,20364901,"southwestern pond turtle"
"1548",2005-03-10,20364901,"southwestern pond turtle"
"1549",2005-03-11,20364901,"southwestern pond turtle"
"1550",2005-04-05,20364901,"southwestern pond turtle"
"1551",2005-04-06,20364901,"southwestern pond turtle"
"1552",2005-04-13,20364901,"southwestern pond turtle"
"1553",2005-04-14,20364901,"southwestern pond turtle"
"1554",2005-04-15,20364901,"southwestern pond turtle"
"1555",2005-04-26,20364901,"southwestern pond turtle"
"1556",2005-04-27,20364901,"southwestern pond turtle"
"1557",2005-04-28,20364901,"southwestern pond turtle"
"1558",2005-05-24,20364901,"southwestern pond turtle"
"1559",2005-05-25,20364901,"southwestern pond turtle"
"1560",2005-05-26,20364901,"southwestern pond turtle"
"1561",2005-06-29,20364901,"southwestern pond turtle"
"1562",2005-06-30,20364901,"southwestern pond turtle"
"1563",2005-07-13,20364901,"southwestern pond turtle"
"1564",2005-07-15,20364901,"southwestern pond turtle"
"1565",2005-07-19,20364901,"southwestern pond turtle"
"1566",2005-07-20,20364901,"southwestern pond turtle"
"1567",2005-07-21,20364901,"southwestern pond turtle"
"1568",2005-08-24,20364901,"southwestern pond turtle"
"1569",2005-08-25,20364901,"southwestern pond turtle"
"1570",2006-04-25,20364901,"southwestern pond turtle"
"1571",2006-04-26,20364901,"southwestern pond turtle"
"1572",2006-05-23,20364901,"southwestern pond turtle"
"1573",2006-05-24,20364901,"southwestern pond turtle"
"1574",2006-05-25,20364901,"southwestern pond turtle"
"1575",2006-06-21,20364901,"southwestern pond turtle"
"1576",2006-06-22,20364901,"southwestern pond turtle"
"1577",2006-06-24,20364901,"southwestern pond turtle"
"1578",2006-07-11,20364901,"southwestern pond turtle"
"1579",2006-07-12,20364901,"southwestern pond turtle"
"1580",2006-07-13,20364901,"southwestern pond turtle"
"1581",2006-08-02,20364901,"southwestern pond turtle"
"1582",2006-08-03,20364901,"southwestern pond turtle"
"1583",2007-08-21,20364901,"southwestern pond turtle"
"1587",2008-03-19,20364901,"southwestern pond turtle"
"1588",2008-04-15,20364901,"southwestern pond turtle"
"1589",2008-04-16,20364901,"southwestern pond turtle"
"1590",2008-05-13,20364901,"southwestern pond turtle"
"1591",2008-05-14,20364901,"southwestern pond turtle"
"1592",2008-05-31,20364901,"southwestern pond turtle"
"1593",2008-06-18,20364901,"southwestern pond turtle"
"1594",2008-07-23,20364901,"southwestern pond turtle"
"1595",2008-08-16,20364901,"southwestern pond turtle"
"1596",2008-08-26,20364901,"southwestern pond turtle"
"1598",2008-09-26,20364901,"southwestern pond turtle"
"1599",2009-04-01,20364901,"southwestern pond turtle"
"1601",2009-04-28,20364901,"southwestern pond turtle"
"1602",2009-05-12,20364901,"southwestern pond turtle"
"1603",2009-05-13,20364901,"southwestern pond turtle"
"1605",2009-05-14,20364901,"southwestern pond turtle"
"1607",2009-05-17,20364901,"southwestern pond turtle"
"1608",2009-09-04,20364901,"southwestern pond turtle"
"1611",2011-03-01,20364901,"southwestern pond turtle"
"1612",2011-03-31,20364901,"southwestern pond turtle"
"1613",2011-04-01,20364901,"southwestern pond turtle"
"1614",2011-05-03,20364901,"southwestern pond turtle"
"1615",2011-07-28,20364901,"southwestern pond turtle"
"1616",2011-09-30,20364901,"southwestern pond turtle"
"1620",2013-06-07,20364901,"southwestern pond turtle"
"1622",2014-04-15,20364901,"southwestern pond turtle"
"1623",2014-06-29,20364901,"southwestern pond turtle"
"1624",2014-08-01,20364901,"southwestern pond turtle"
"1631",2014-10-17,20364901,"southwestern pond turtle"
"1632",2014-12-02,20364901,"southwestern pond turtle"
"1633",2015-01-26,20364901,"southwestern pond turtle"
"1636",2015-02-25,20364901,"southwestern pond turtle"
"1637",2015-03-20,20364901,"southwestern pond turtle"
"1645",2015-04-17,20364901,"southwestern pond turtle"
"1646",2015-05-16,20364901,"southwestern pond turtle"
"1647",2015-05-18,20364901,"southwestern pond turtle"
"1648",2015-06-13,20364901,"southwestern pond turtle"
"1649",2015-06-16,20364901,"southwestern pond turtle"
"1650",2015-06-19,20364901,"southwestern pond turtle"
"1657",2015-06-23,20364901,"southwestern pond turtle"
"1658",2015-06-25,20364901,"southwestern pond turtle"
"1660",2015-06-30,20364901,"southwestern pond turtle"
"1662",2015-07-20,20364901,"southwestern pond turtle"
"1666",2015-07-28,20364901,"southwestern pond turtle"
"1668",2015-08-25,20364901,"southwestern pond turtle"
"1672",2015-10-01,20364901,"southwestern pond turtle"
"1673",2015-11-24,20364901,"southwestern pond turtle"
"1674",2016-04-04,20364901,"southwestern pond turtle"
"1675",2016-04-13,20364901,"southwestern pond turtle"
"1676",2016-06-07,20364901,"southwestern pond turtle"
"1681",2016-07-28,20364901,"southwestern pond turtle"
"1682",2016-09-21,20364901,"southwestern pond turtle"
"1683",2016-10-03,20364901,"southwestern pond turtle"
"1686",2016-10-18,20364901,"southwestern pond turtle"
"1687",2016-11-22,20364901,"southwestern pond turtle"
"1689",2017-06-07,20364901,"southwestern pond turtle"
"1690",2017-06-12,20364901,"southwestern pond turtle"
"1691",2017-09-17,20364901,"southwestern pond turtle"
"1692",2017-11-10,20364901,"southwestern pond turtle"
"1694",2018-03-23,20364901,"southwestern pond turtle"
"1695",2018-03-24,20364901,"southwestern pond turtle"
"1696",2005-03-01,20365171,"rainbow trout"
"1697",2005-06-01,20365171,"rainbow trout"
"1698",2005-11-01,20365171,"rainbow trout"
"1699",2012-03-01,20365171,"rainbow trout"
"1700",2012-06-01,20365171,"rainbow trout"
"1701",2012-11-01,20365171,"rainbow trout"
"1702",2013-03-01,20365171,"rainbow trout"
"1703",2013-06-01,20365171,"rainbow trout"
"1704",2013-11-01,20365171,"rainbow trout"
"1705",2014-03-01,20365171,"rainbow trout"
"1706",2014-06-01,20365171,"rainbow trout"
"1707",2014-11-01,20365171,"rainbow trout"
"1708",2015-03-01,20365171,"rainbow trout"
"1709",2015-06-01,20365171,"rainbow trout"
"1710",2015-11-01,20365171,"rainbow trout"
"1711",2016-03-01,20365171,"rainbow trout"
"1712",2016-06-01,20365171,"rainbow trout"
"1713",2016-11-01,20365171,"rainbow trout"
"1714",2017-03-01,20365171,"rainbow trout"
"1715",2017-06-01,20365171,"rainbow trout"
"1716",2017-11-01,20365171,"rainbow trout"
"1717",2010-07-11,20366115,"least bell's vireo"
"1718",2010-07-11,20366323,"least bell's vireo"
"1720",2008-11-18,20365153,"rainbow trout"
"1727",2008-11-19,20365153,"rainbow trout"
"1744",2008-11-20,20365153,"rainbow trout"
"1770",2008-11-21,20365153,"rainbow trout"
"1783",2009-11-03,20365153,"rainbow trout"
"1792",2009-11-04,20365153,"rainbow trout"
"1819",2009-11-05,20365153,"rainbow trout"
"1856",2010-11-16,20365153,"rainbow trout"
"1879",2010-11-17,20365153,"rainbow trout"
"1901",2010-11-18,20365153,"rainbow trout"
"1931",2010-11-19,20365153,"rainbow trout"
"1962",2011-03-15,20365153,"rainbow trout"
"1992",2011-03-16,20365153,"rainbow trout"
"2014",2011-11-14,20365153,"rainbow trout"
"2045",2011-11-15,20365153,"rainbow trout"
"2065",2011-11-16,20365153,"rainbow trout"
"2085",2012-03-20,20365153,"rainbow trout"
"2098",2004-05-14,22515878,"least bell's vireo"
"2099",2001-06-21,22515870,"least bell's vireo"
"2101",1999-10-16,22515870,"santa ana sucker"
"2102",2009-07-17,22515870,"least bell's vireo"
"2105",2013-07-09,22515858,"least bell's vireo"
"2106",2002-08-24,22515762,"arroyo toad"
"2107",2004-08-27,22515766,"arroyo chub"
"2133",1999-05-12,22515766,"santa ana sucker"
"2134",2017-05-01,22515766,"least bell's vireo"
"2135",2017-05-16,22515766,"least bell's vireo"
"2136",2017-06-01,22515766,"least bell's vireo"
"2137",2017-06-12,22515766,"least bell's vireo"
"2138",2017-06-23,22515766,"least bell's vireo"
"2139",2017-07-03,22515766,"least bell's vireo"
"2140",2017-07-13,22515766,"least bell's vireo"
"2141",2017-07-25,22515766,"least bell's vireo"
"2142",2002-05-30,22515026,"least bell's vireo"
"2144",2002-06-07,22515026,"least bell's vireo"
"2148",2002-05-23,22515026,"least bell's vireo"
"2151",2001-04-30,22515026,"least bell's vireo"
"2152",2007-07-31,22515026,"least bell's vireo"
"2157",2009-08-24,22515026,"least bell's vireo"
"2166",2010-07-26,22515026,"least bell's vireo"
"2167",2013-07-30,22515026,"least bell's vireo"
"2168",2000-12-21,22515746,"santa ana sucker"
"2169",2001-05-19,22515746,"santa ana sucker"
"2170",2001-07-12,22515746,"santa ana sucker"
"2171",2001-11-11,22515746,"santa ana sucker"
"2172",2002-05-08,22515746,"santa ana sucker"
"2173",2003-04-29,22515746,"santa ana sucker"
"2174",2009-07-06,22515746,"least bell's vireo"
"2175",2009-10-28,22515746,"santa ana sucker"
"2179",2013-12-13,22515746,"santa ana sucker"
"2180",2011-10-12,22515746,"santa ana sucker"
"2181",2001-08-22,22514620,"santa ana sucker"
"2182",2001-04-30,22515018,"least bell's vireo"
"2183",2007-07-31,22515018,"least bell's vireo"
"2186",2009-08-24,22515018,"least bell's vireo"
"2188",2010-07-26,22515018,"least bell's vireo"
"2192",2017-04-03,17586974,"southwestern pond turtle"
"2193",2014-02-26,17586460,"rainbow trout"
"2194",2015-05-13,17586460,"rainbow trout"
"2195",2015-04-15,17586460,"rainbow trout"
"2196",2017-03-02,17586460,"rainbow trout"
"2197",2017-03-02,17586460,"southwestern pond turtle"
"2203",2014-02-26,17586460,"southwestern pond turtle"
"2205",2017-05-15,17586460,"rainbow trout"
"2206",2017-05-15,17586460,"southwestern pond turtle"
"2207",2016-04-05,17586460,"rainbow trout"
"2208",2016-04-05,17586460,"southwestern pond turtle"
"2209",2015-03-18,17586460,"rainbow trout"
"2210",2015-03-18,17586460,"southwestern pond turtle"
"2215",2014-01-30,17586460,"rainbow trout"
"2217",2014-12-16,17586460,"rainbow trout"
"2219",2014-12-16,17586460,"southwestern pond turtle"
"2220",2016-02-08,17586460,"rainbow trout"
"2222",2016-01-12,17586460,"rainbow trout"
"2224",2014-02-13,17586460,"rainbow trout"
"2230",2014-01-27,17586460,"rainbow trout"
"2232",2013-03-14,17586460,"southwestern pond turtle"
"2233",2016-03-16,17586460,"southwestern pond turtle"
"2234",2017-03-13,17586460,"rainbow trout"
"2236",2015-12-09,17586460,"southwestern pond turtle"
"2238",2014-03-24,17586460,"southwestern pond turtle"
"2240",2015-04-15,17586460,"southwestern pond turtle"
"2241",2017-04-24,17586460,"rainbow trout"
"2242",2017-04-24,17586460,"southwestern pond turtle"
"2245",2014-04-02,17586460,"rainbow trout"
"2247",2015-04-29,17586460,"rainbow trout"
"2253",2015-04-29,17586460,"southwestern pond turtle"
"2254",2015-04-01,17586460,"rainbow trout"
"2256",2015-05-27,17586460,"rainbow trout"
"2259",2014-05-21,17586460,"rainbow trout"
"2260",2014-05-21,17586460,"southwestern pond turtle"
"2262",2017-03-06,17585726,"rainbow trout"
"2263",2017-03-22,17585802,"arroyo chub"
"2264",2015-04-27,17585802,"southwestern pond turtle"
"2265",2017-02-15,17586836,"southwestern pond turtle"
"2266",2015-04-07,17586802,"southwestern pond turtle"
"2267",2004-11-20,17573683,"rainbow trout"
